symbol,model,total_return,max_drawdown,sharpe,trade_count,win_rate,avg_win,avg_loss,exposure_time,bars,excess_vs_buy_hold
SPY,state_ev_strategy,3.170138940611423,-0.317597006822898,0.7006860565430485,569.0,0.5799648506151143,0.0164346725297063,-0.0160637131391854,0.6910371629827544,,-2.3521411264493723
SPY,buy_and_hold,5.522280067060795,,,,,,,,4117.0,0.0
SPY,ma_crossover,2.372998967875576,,,,,,,0.7828515909642944,4117.0,-3.14928109918522
SPY,breakout,0.1862399299708836,,,172.0,0.5813953488372093,,,0.2088899684236094,,-5.336040137089912
QQQ,state_ev_strategy,3.945178598063968,-0.453492716609936,0.6858192347131721,564.0,0.5851063829787234,0.020470122874978,-0.0211182241568347,0.6849647801797425,,-10.326902401505182
QQQ,buy_and_hold,14.27208099956915,,,,,,,,4117.0,0.0
QQQ,ma_crossover,8.43967529521372,,,,,,,0.8000971581248482,4117.0,-5.832405704355431
QQQ,breakout,0.1271511724303189,,,179.0,0.5642458100558659,,,0.217391304347826,,-14.144929827138832
IWM,state_ev_strategy,2.2702898605129604,-0.410801520195741,0.4899289786103981,559.0,0.5742397137745975,0.0218223475711808,-0.0233025101538698,0.6788923973767307,,-1.068566031953436
IWM,buy_and_hold,3.3388558924663965,,,,,,,,4117.0,0.0
IWM,ma_crossover,0.4506295454574547,,,,,,,0.6890940004857906,4117.0,-2.888226347008942
IWM,breakout,-0.0197633049322942,,,105.0,0.4857142857142857,,,0.1275200388632499,,-3.3586191973986907
XLK,state_ev_strategy,5.16083670910377,-0.2342166358879276,0.778373485459291,564.0,0.5797872340425532,0.021062504607727,-0.0205100923910335,0.6849647801797425,,-8.981774974745026
XLK,buy_and_hold,14.142611683848797,,,,,,,,4117.0,0.0
XLK,ma_crossover,6.3867851122815775,,,,,,,0.7937818800097158,4117.0,-7.755826571567217
XLK,breakout,0.2676011769228812,,,175.0,0.5942857142857143,,,0.2125333981054165,,-13.875010506925914
SMH,state_ev_strategy,1.9206872722544723,-0.529214143238167,0.4012618072745447,569.0,0.5553602811950791,0.0290143978823454,-0.0302848802598671,0.6910371629827544,,-36.230614627815896
SMH,buy_and_hold,38.15130190007037,,,,,,,,4117.0,0.0
SMH,ma_crossover,15.631022899133018,,,,,,,0.7410735972795724,4117.0,-22.520279000937357
SMH,breakout,0.5006384281491094,,,150.0,0.5733333333333334,,,0.182171484090357,,-37.65066347192126
XLE,state_ev_strategy,0.413720722384248,-0.6646274181054177,0.2069881958134847,559.0,0.5205724508050089,0.0278755349804544,-0.0273400428064966,0.6788923973767307,,-0.6073605424916444
XLE,buy_and_hold,1.0210812648758925,,,,,,,,4117.0,0.0
XLE,ma_crossover,1.133918827405354,,,,,,,0.5567160553801311,4117.0,0.1128375625294615
XLE,breakout,0.5387265684611906,,,83.0,0.6626506024096386,,,0.1008015545299975,,-0.4823546964147018
XLF,state_ev_strategy,3.4914544793780253,-0.3401343120407857,0.652474647345833,559.0,0.5796064400715564,0.0202718477647569,-0.0206559830533019,0.6788923973767307,,0.2081351164274805
XLF,buy_and_hold,3.283319362950545,,,,,,,,4117.0,0.0
XLF,ma_crossover,1.3060080823582814,,,,,,,0.6946805926645616,4117.0,-1.9773112805922637
XLF,breakout,0.0934098259975726,,,128.0,0.5078125,,,0.1554529997571047,,-3.189909536952972
GLD,state_ev_strategy,0.3659996554786613,-0.4845273601414439,0.2104794606467698,584.0,0.5256849315068494,0.0164735270249254,-0.0166004074309107,0.7092543113917902,,-2.4344557179275323
GLD,buy_and_hold,2.800455373406193,,,,,,,,4117.0,0.0
GLD,ma_crossover,1.4950888785204346,,,,,,,0.6067524896769493,4117.0,-1.3053664948857588
GLD,breakout,0.0054335861904371,,,87.0,0.5287356321839081,,,0.1056594607724071,,-2.7950217872157563
TLT,state_ev_strategy,0.0179699848611816,-0.1976754827699915,0.0468356442449171,78.0,0.5128205128205128,0.0171559915676551,-0.0170914136195598,0.0947291717269856,,0.0864478826453928
TLT,buy_and_hold,-0.0684778977842112,,,,,,,,4117.0,0.0
TLT,ma_crossover,0.1862792877819281,,,,,,,0.466844789895555,4117.0,0.2547571855661393
TLT,breakout,-0.1594735191392033,,,56.0,0.375,,,0.0680106873937333,,-0.0909956213549921
SPY,random_label,0.5604259962271636,-0.40734528031430706,0.28588709286114344,519.0,0.5857418111753372,0.013846232222806393,-0.016934404918950683,0.6303133349526354,,-4.961854070833632
QQQ,random_label,3.275893871264204,-0.3159770566668644,0.6738182442171272,524.0,0.6125954198473282,0.018399182930324616,-0.021043322408410937,0.6363857177556473,,-10.996187128304946
IWM,random_label,1.2073886655491246,-0.2873076656464022,0.42271985360179254,441.0,0.5351473922902494,0.020737286469925734,-0.019261031058993693,0.5355841632256497,,-2.131467226917272
XLK,random_label,2.719412073140531,-0.38489052431518445,0.5749811442936321,521.0,0.5950095969289827,0.020164852360337,-0.022356354583189807,0.6327422880738401,,-11.423199610708267
SMH,random_label,3.236947757891474,-0.3653114785337286,0.5458463890165858,506.0,0.5731225296442688,0.026927929542929,-0.0279799088681792,0.6145251396648045,,-34.9143541421789
XLE,random_label,0.21491666780755603,-0.5165577854124717,0.1552605144763377,378.0,0.544973544973545,0.024163235805175477,-0.026513080095918372,0.4590721399076998,,-0.8061645970683364
XLF,random_label,0.5826810844216275,-0.37588196977432753,0.26896267433465726,439.0,0.5421412300683371,0.01921999778153328,-0.019605393654027345,0.533155210104445,,-2.7006382785289174
GLD,random_label,0.5045830698074092,-0.30714099587335364,0.27549383601548527,385.0,0.535064935064935,0.017997135873990093,-0.01782425640922518,0.46757347583191644,,-2.2958723035987836
TLT,random_label,-0.3536516145100622,-0.42783318962482764,-0.2929062501796911,285.0,0.47017543859649125,0.014400489946507129,-0.015320792200787902,0.3461258197716784,,-0.285173716725851
