cluster_label,state,label,count_1,avg_forward_return_1,win_rate_1,avg_win_1,avg_loss_1,ci_low_1,ci_high_1,ev_after_cost_1,count_5,avg_forward_return_5,win_rate_5,avg_win_5,avg_loss_5,ci_low_5,ci_high_5,ev_after_cost_5,count_10,avg_forward_return_10,win_rate_10,avg_win_10,avg_loss_10,ci_low_10,ci_high_10,ev_after_cost_10,count_20,avg_forward_return_20,win_rate_20,avg_win_20,avg_loss_20,ci_low_20,ci_high_20,ev_after_cost_20
high_vol_speculative,0,FAR_FROM_LEVEL,9189,0.0007352893620139155,0.5303079769289367,0.011643538804058115,-0.011771641696803892,0.0004098469319319222,0.0010607317920959087,0.00023528936201391544,9185,0.0033223026453145206,0.5598258029395754,0.026120595465198626,-0.025858682631997375,0.002610364352591031,0.00403424093803801,0.0028223026453145206,9179,0.006403290867107757,0.5702146203290118,0.038125819688062015,-0.03584790765931613,0.005394394615945387,0.007412187118270127,0.005903290867107757,9167,0.012286092376387125,0.593869313843133,0.054959082098529385,-0.0503021391561211,0.010852187831929205,0.013719996920845044,0.011786092376387124
high_vol_speculative,1,APPROACHING_SUPPORT,197,0.0008997290439552653,0.5228426395939086,0.018993206096760626,-0.018926102194756992,-0.002989152565931758,0.004788610653842289,0.00039972904395526524,197,0.0054538111403164636,0.5888324873096447,0.039700557235700436,-0.04413579805873634,-0.00288995558116232,0.013797577861795248,0.004953811140316464,197,0.006053727501629202,0.5532994923857868,0.051910269710844184,-0.051329138858173154,-0.003876502488348874,0.015983957491607276,0.005553727501629201,197,0.019691232503105276,0.5786802030456852,0.07500757558297905,-0.05628543148611895,0.006982043027335657,0.032400421978874897,0.019191232503105275
high_vol_speculative,2,TOUCHING_SUPPORT,207,0.003054746971824733,0.5652173913043478,0.02029785460045756,-0.019361292945397946,-0.0010869814049068146,0.007196475348556281,0.002554746971824733,207,0.007113448496211884,0.6618357487922706,0.03760130617379155,-0.05255564438705118,-0.0008793717629860479,0.015106268755409815,0.006613448496211883,207,0.012315305355956823,0.6280193236714976,0.04682132956652134,-0.04594161863590534,0.0038681562425030742,0.020762454469410573,0.011815305355956823,207,0.01986756400322232,0.5652173913043478,0.07323004817264882,-0.049503665417032126,0.00871818646644819,0.03101694153999645,0.01936756400322232
high_vol_speculative,3,SUPPORT_RECLAIM,54,-0.019008793661196316,0.3888888888888889,0.015640449047930632,-0.04105831174882255,-0.029989988933881356,-0.008027598388511276,-0.019508793661196316,54,-0.000378443765295693,0.6111111111111112,0.042437507446316025,-0.06766065281211411,-0.02036067477870326,0.019603787248111872,-0.0008784437652956929,54,0.014274365465396961,0.6481481481481481,0.061916362221087276,-0.07348720750561151,-0.00887717006470444,0.03742590099549836,0.01377436546539696,54,0.037701986426714545,0.6296296296296297,0.10445364077614283,-0.07577582596731354,0.006160372712707682,0.06924360014072141,0.037201986426714545
high_vol_speculative,4,SUPPORT_BREAKDOWN,72,0.001698949565818038,0.4583333333333333,0.0348209451016022,-0.026327354349076255,-0.008491062049564837,0.011888961181200914,0.001198949565818038,72,-0.0011526240725835228,0.4861111111111111,0.05283932399286628,-0.05222608845881982,-0.01797581415453419,0.015670566009367143,-0.0016526240725835228,72,-0.004776734915244437,0.5833333333333334,0.06299474924450259,-0.09965681273889025,-0.03264714633058437,0.023093676500095497,-0.0052767349152444375,72,0.019138563684210533,0.6111111111111112,0.10428444872465499,-0.11466211280791647,-0.01706821257492993,0.055345339943350995,0.018638563684210532
high_vol_speculative,5,APPROACHING_RESISTANCE,1015,0.0009742320299711287,0.5369458128078818,0.009181378037919121,-0.008804836667204443,0.00022949531764154872,0.0017189687423007087,0.00047423202997112866,1014,0.002844671092007709,0.5769230769230769,0.020849287727371508,-0.021859945617879146,0.0011184697263245985,0.004570872457690819,0.002344671092007709,1012,0.004662788331510734,0.5533596837944664,0.030195864425891016,-0.027272801536935364,0.0023284481660537032,0.006997128496967765,0.004162788331510734,1009,0.007389984885904463,0.5738354806739346,0.04408901466019521,-0.04222206714573696,0.00370621058929133,0.011073759182517597,0.006889984885904463
high_vol_speculative,6,COMPRESSION_BELOW_RESISTANCE,276,-0.0005735334699198511,0.4927536231884058,0.0065513415998947255,-0.0077152771712026575,-0.0016681598719336748,0.0005210929320939727,-0.001073533469919851,276,-0.0018598309048716976,0.5181159420289855,0.01543611243325899,-0.020768529829775752,-0.0046676225814293185,0.0009479607716859236,-0.002359830904871698,276,-0.001909844612768128,0.4963768115942029,0.020302347500541527,-0.02397491826592893,-0.005456217866013539,0.001636528640477283,-0.0024098446127681283,276,0.0011332544942427311,0.5652173913043478,0.026875852142332384,-0.032880124523668286,-0.004154081549120839,0.006420590537606301,0.0006332544942427311
high_vol_speculative,7,RESISTANCE_BREAKOUT,139,0.000997158579196468,0.539568345323741,0.009751285521049351,-0.009408593199530036,-0.0012974450001266519,0.0032917621585195882,0.0004971585791964681,139,0.002147590273089803,0.5539568345323741,0.020095281024431953,-0.02081369318202963,-0.0022880511125791024,0.006583231658758708,0.001647590273089803,137,0.005587306142442221,0.583941605839416,0.030049202426689025,-0.02925848665393817,-0.0011566093494945074,0.01233122163437895,0.005087306142442221,137,0.016957357467532953,0.6277372262773723,0.05091320443337544,-0.040301521729770085,0.0068982330368846,0.027016481898181306,0.016457357467532952
high_vol_speculative,8,BREAKOUT_RETEST,316,1.2796589979256246e-05,0.5158227848101266,0.008424324872994354,-0.009067028025593608,-0.0013470349244730413,0.0013726281044315538,-0.0004872034100207438,314,0.0017350492362407724,0.5254777070063694,0.020165477684318558,-0.018800664579276757,-0.001389643464741153,0.004859741937222698,0.0012350492362407724,314,0.0060255393903268445,0.589171974522293,0.028146132679291124,-0.02610248170949787,0.001788644749583933,0.010262434031069755,0.005525539390326845,307,0.013661814658666135,0.6384364820846905,0.0435713103609331,-0.03950727027756711,0.007507291949839809,0.01981633736749246,0.013161814658666135
high_vol_speculative,9,FAILED_BREAKOUT,440,0.0009084873366746289,0.5113636363636364,0.011243827061568913,-0.010143460289124613,-0.0004642875764565438,0.0022812622498058015,0.00040848733667462884,436,0.004835972344175437,0.5871559633027523,0.02432226012162439,-0.022877859161529745,0.0018008310026322062,0.007871113685718668,0.004335972344175437,433,0.010860626388880981,0.625866050808314,0.0366561608832178,-0.032491729024637005,0.006575265509741343,0.01514598726802062,0.01036062638888098,427,0.020666068515776487,0.667447306791569,0.05221726351559553,-0.04265851299794483,0.015011015732144573,0.0263211212994084,0.020166068515776486
