symbol,vol_state,state,label,count_1,avg_forward_return_1,win_rate_1,avg_win_1,avg_loss_1,ci_low_1,ci_high_1,ev_after_cost_1,count_5,avg_forward_return_5,win_rate_5,avg_win_5,avg_loss_5,ci_low_5,ci_high_5,ev_after_cost_5,count_10,avg_forward_return_10,win_rate_10,avg_win_10,avg_loss_10,ci_low_10,ci_high_10,ev_after_cost_10,count_20,avg_forward_return_20,win_rate_20,avg_win_20,avg_loss_20,ci_low_20,ci_high_20,ev_after_cost_20
GLD,0,0,FAR_FROM_LEVEL,560,0.0005329015553985761,0.55,0.006278526130507681,-0.00662089545414236,-0.0002006419099614713,0.0012664450207586235,3.290155539857609e-05,560,0.0028635195815656343,0.5875,0.016105108278252026,-0.01606525938203548,0.0011731585201593467,0.004553880642971922,0.0023635195815656343,560,0.004492548479373752,0.5821428571428572,0.024965706332499598,-0.024133017665002435,0.0019428683973821666,0.007042228561365338,0.003992548479373753,559,0.009799918311853255,0.5742397137745975,0.0419100892038287,-0.033649722776806085,0.006025515394142431,0.013574321229564078,0.009299918311853254
GLD,0,1,APPROACHING_SUPPORT,13,-0.0012973573646027315,0.3076923076923077,0.009133223758873876,-0.005933171197259002,-0.006477249079022462,0.003882534349816999,-0.0017973573646027315,13,-0.008189780923504881,0.3076923076923077,0.008904883243005701,-0.015787409441954028,-0.015269852200241258,-0.0011097096467685029,-0.008689780923504881,13,-0.007142992561202688,0.38461538461538464,0.009327270448227898,-0.017436906942096805,-0.016246440816484447,0.0019604556940790692,-0.007642992561202688,13,0.001524777448594899,0.46153846153846156,0.02859935284322253,-0.02168200146108593,-0.015332669953395672,0.01838222485058547,0.001024777448594899
GLD,0,2,TOUCHING_SUPPORT,12,-0.0034205299424037994,0.4166666666666667,0.006573010652310485,-0.010558773224342574,-0.009633114000777907,0.0027920541159703084,-0.0039205299424038,12,-0.009748612660745152,0.4166666666666667,0.008055849406306149,-0.022466085565781797,-0.021994480244897602,0.0024972549234072994,-0.010248612660745152,12,-0.014293773039078564,0.16666666666666666,0.020469499631614263,-0.021246427573217132,-0.026207288278011557,-0.0023802578001455715,-0.014793773039078565,12,-0.00539670406194831,0.4166666666666667,0.014042440097444953,-0.019281807032943497,-0.01611421479674044,0.005320806672843821,-0.00589670406194831
GLD,0,3,SUPPORT_RECLAIM,1,0.0036372864151581474,1.0,0.0036372864151581474,,,,0.0031372864151581474,1,0.0054136355946541315,1.0,0.0054136355946541315,,,,0.004913635594654131,1,-0.005159871426154594,0.0,,-0.005159871426154594,,,-0.005659871426154595,1,-0.020216545423786147,0.0,,-0.020216545423786147,,,-0.020716545423786148
GLD,0,4,SUPPORT_BREAKDOWN,4,-0.0058748282060364365,0.25,0.012389843818165991,-0.011963052214103912,-0.021821852463231584,0.010072196051158711,-0.006374828206036437,4,-0.0013807102970276597,0.5,0.014982395216265765,-0.017743815810321084,-0.024243743048195758,0.02148232245414044,-0.0018807102970276597,4,-0.0033501231407153387,0.25,0.03821656050955413,-0.01720568435747183,-0.03321895674295365,0.026518710461522974,-0.0038501231407153387,4,-0.0197279171023515,0.0,,-0.0197279171023515,-0.023157495258028394,-0.016298338946674606,-0.0202279171023515
GLD,0,5,APPROACHING_RESISTANCE,27,0.003914187489768042,0.6666666666666666,0.008166313180997722,-0.0045900638926913186,0.0008711481430703702,0.006957226836465713,0.0034141874897680416,27,0.004536013156263104,0.6666666666666666,0.01634382931238212,-0.01907961915597493,-0.0032768417546629016,0.012348868067189111,0.004036013156263105,27,0.017639814439116292,0.7777777777777778,0.03033800892370449,-0.026803866256942404,0.0059286104720530555,0.029351018406179527,0.01713981443911629,27,0.044961945796654176,0.7407407407407407,0.07140607185588352,-0.030592700086858216,0.023140291054552283,0.06678360053875607,0.044461945796654176
GLD,0,6,COMPRESSION_BELOW_RESISTANCE,14,0.0027932603634811377,0.6428571428571429,0.007223208402834229,-0.005180646107354425,-0.00165433668512462,0.007240857412086896,0.0022932603634811376,14,0.014974261652303715,0.8571428571428571,0.020123657454529615,-0.015922113161051688,0.005657309513640071,0.02429121379096736,0.014474261652303715,14,0.028540855859133962,0.8571428571428571,0.037347738899997686,-0.024300442386048393,0.01311594462610337,0.04396576709216456,0.028040855859133962,14,0.03915591426694994,0.7857142857142857,0.056845027943529164,-0.025704169213840517,0.015821282267466104,0.06249054626643378,0.03865591426694994
GLD,0,7,RESISTANCE_BREAKOUT,9,0.005299584188016521,0.7777777777777778,0.007856477754237146,-0.0036495432937556638,0.0010589641185837669,0.009540204257449275,0.004799584188016522,9,0.014323454258326472,0.7777777777777778,0.021323964983895057,-0.010178333281163576,0.00010006484646866466,0.02854684367018428,0.013823454258326472,9,0.019956176145251938,0.7777777777777778,0.03715260481304172,-0.04023132419201231,-0.00937491121785244,0.04928726350835631,0.019456176145251938,9,0.04032273540111605,0.5555555555555556,0.09907245031176429,-0.03311440823719425,-0.012197473540008406,0.0928429443422405,0.03982273540111605
GLD,0,8,BREAKOUT_RETEST,23,0.0044952507833287345,0.6956521739130435,0.009185709078485621,-0.0062257967484584354,0.0007262669285499693,0.0082642346381075,0.003995250783328734,23,0.013343546586042802,0.6956521739130435,0.022907964143282986,-0.008517979259077617,0.005086434518590017,0.021600658653495586,0.012843546586042802,23,0.013413540486900967,0.4782608695652174,0.049193877691911594,-0.01938510195102544,-0.003060851416532404,0.02988793239033434,0.012913540486900967,23,0.004361703617172836,0.5217391304347826,0.03427070550041215,-0.028266298437270052,-0.011732973506929898,0.02045638074127557,0.003861703617172836
GLD,0,9,FAILED_BREAKOUT,20,0.001641575809594803,0.65,0.008068407824914607,-0.010293969361713404,-0.00338524377187173,0.006668395391061336,0.001141575809594803,20,0.0058061099524777835,0.55,0.025247992274319217,-0.01795619066310619,-0.005865678745990629,0.017477898650946195,0.005306109952477784,20,0.0038282280645655586,0.6,0.02698099959352603,-0.03090092922887515,-0.01448823592412146,0.022144692053252577,0.0033282280645655585,20,0.0115679202864017,0.55,0.04353048604675618,-0.02749743786514267,-0.005371637232421154,0.028507477805224554,0.0110679202864017
