symbol,state,label,count_1,avg_forward_return_1,win_rate_1,avg_win_1,avg_loss_1,ci_low_1,ci_high_1,ev_after_cost_1,count_5,avg_forward_return_5,win_rate_5,avg_win_5,avg_loss_5,ci_low_5,ci_high_5,ev_after_cost_5,count_10,avg_forward_return_10,win_rate_10,avg_win_10,avg_loss_10,ci_low_10,ci_high_10,ev_after_cost_10,count_20,avg_forward_return_20,win_rate_20,avg_win_20,avg_loss_20,ci_low_20,ci_high_20,ev_after_cost_20
GLD,0,FAR_FROM_LEVEL,3186,0.0002904263077640071,0.5257376020087885,0.006868325553354654,-0.00705276472355528,-4.169267343247398e-05,0.0006225452889604881,-0.00020957369223599293,3182,0.001452610293623386,0.5461973601508485,0.016194287490910432,-0.01632440368139675,0.0007078714278594946,0.0021973491593872776,0.000952610293623386,3177,0.0026206994067509886,0.5527226943657538,0.023326634803692767,-0.023080345615301708,0.001561659168899471,0.0036797396446025064,0.0021206994067509886,3167,0.004970813145033429,0.5288916956109884,0.036377188756015984,-0.03034870781464466,0.0034855306949206676,0.00645609559514619,0.0044708131450334285
GLD,1,APPROACHING_SUPPORT,85,-0.0008316282452798291,0.4117647058823529,0.007796510372692562,-0.006871325277860503,-0.0030065689434927816,0.0013433124529331235,-0.001331628245279829,85,-0.0015487036465884198,0.4588235294117647,0.019143696941384878,-0.01909226066682665,-0.00732014670236051,0.004222739409183671,-0.0020487036465884198,85,0.0034701118763622845,0.5058823529411764,0.030994763036745393,-0.0247098881211728,-0.0039243370076438785,0.010864560760368448,0.0029701118763622845,85,0.006383298687130455,0.4823529411764706,0.04443230907601356,-0.02907146099341972,-0.0035013902428593065,0.016267987617120217,0.005883298687130455
GLD,2,TOUCHING_SUPPORT,67,0.0003619867045447408,0.5522388059701493,0.008806807185321258,-0.010053291888412964,-0.002944865084752569,0.0036688384938420504,-0.0001380132954552592,67,0.000664851025335134,0.47761194029850745,0.020547809791196775,-0.01751385413202408,-0.0060447800919797385,0.007374482142650007,0.00016485102533513399,67,-0.002212602892799558,0.3880597014925373,0.03571879045933919,-0.026266657213668033,-0.011714239289551691,0.007289033503952576,-0.002712602892799558,67,0.011480094548402915,0.5522388059701493,0.04236944334198473,-0.026616768963681325,0.0010533787502904624,0.021906810346515367,0.010980094548402914
GLD,3,SUPPORT_RECLAIM,24,0.0030921997348574565,0.7083333333333334,0.007354825836560735,-0.007259892226421935,-0.0008499719552603558,0.007034371424975269,0.0025921997348574565,24,0.0005107800032587659,0.5,0.015069739271517465,-0.014048179264999933,-0.008010276156500129,0.00903183616301766,1.0780003258765926e-05,24,0.0077116196965962515,0.5416666666666666,0.0265916074556315,-0.014601093109536318,-0.003410347329268342,0.018833586722460844,0.007211619696596252,24,0.013298832858605891,0.625,0.03633380643963453,-0.025092789776441842,-0.0015634610179978865,0.02816112673520967,0.01279883285860589
GLD,4,SUPPORT_BREAKDOWN,32,-0.003447776427272068,0.5,0.006783921843562232,-0.013679474698106368,-0.009900421863295004,0.0030048690087508675,-0.0039477764272720685,32,0.0010498642517126518,0.5625,0.017155195916603343,-0.01965699074600395,-0.007548014601523521,0.009647743104948824,0.0005498642517126518,32,0.008878259087610082,0.5,0.03454066325508555,-0.016784145079865385,-0.0019450163570016651,0.01970153453222183,0.008378259087610081,32,0.019493511819801024,0.65625,0.03978125027619963,-0.019237625233323587,0.00548674048003845,0.0335002831595636,0.018993511819801023
GLD,5,APPROACHING_RESISTANCE,136,0.0006787526541348898,0.47058823529411764,0.009616952684306158,-0.007266314039350682,-0.0011746667428118927,0.0025321720510816724,0.00017875265413488982,136,0.005881846182291506,0.5882352941176471,0.024443367568692427,-0.021009787721886348,0.0009312479665303458,0.010832444398052667,0.005381846182291506,136,0.01258149587490777,0.6397058823529411,0.03638284429005168,-0.02967804110708244,0.005090649222195357,0.020072342527620184,0.012081495874907769,136,0.02335858444973154,0.625,0.0568445204160748,-0.03245130882750723,0.01390545302865054,0.03281171587081254,0.022858584449731538
GLD,6,COMPRESSION_BELOW_RESISTANCE,58,0.00284283405145915,0.5862068965517241,0.00820298634065432,-0.004750715024900672,0.0007060542198462851,0.004979613883072016,0.00234283405145915,58,0.005129293295692034,0.5689655172413793,0.01854956013137854,-0.012585458927414153,0.00015710934829277993,0.010101477243091288,0.004629293295692035,58,0.012060827149260137,0.5862068965517241,0.032223691025010937,-0.016503230008053493,0.0046531885773011,0.019468465721219172,0.011560827149260136,58,0.018587429076689376,0.6724137931034483,0.042031888480586956,-0.029535408647100404,0.008095195952109849,0.029079662201268903,0.018087429076689376
GLD,7,RESISTANCE_BREAKOUT,47,0.0036182776531142762,0.6382978723404256,0.008320416097875942,-0.004679613719994545,0.001251890770581202,0.00598466453564735,0.0031182776531142762,47,0.007262117563760824,0.574468085106383,0.023431816977087353,-0.01456697664422999,4.2581127309144e-05,0.014481654000212504,0.006762117563760824,47,0.01032405107812697,0.6170212765957447,0.02860492089358694,-0.019128461402336316,0.0014626964244153426,0.019185405731838596,0.009824051078126969,47,0.02632250261660022,0.6808510638297872,0.05085128160916515,-0.026005559234204948,0.011795895366361685,0.040849109866838755,0.02582250261660022
GLD,8,BREAKOUT_RETEST,103,0.0006058152587727679,0.5436893203883495,0.009249071056254785,-0.009692532074397294,-0.0023420783841302125,0.0035537089016757484,0.00010581525877276785,103,0.004085324803889134,0.5728155339805825,0.019860891628882743,-0.017068276165988657,-0.0008866410211393616,0.009057290628917629,0.0035853248038891336,103,0.007121108207660549,0.49514563106796117,0.033903995771299496,-0.019146723825908415,0.00046609453599161417,0.013776121879329483,0.006621108207660549,103,0.015433063768823703,0.5631067961165048,0.045322622601435235,-0.02309125650432004,0.006443869560658063,0.024422257976989343,0.014933063768823703
GLD,9,FAILED_BREAKOUT,188,0.0012360783102855306,0.5904255319148937,0.01000474106413678,-0.01140446150370783,-0.0008417394560571632,0.0033138960766282244,0.0007360783102855306,188,0.007065284486829323,0.5797872340425532,0.023846120598167157,-0.016088021033877315,0.003276400630423104,0.010854168343235542,0.006565284486829323,188,0.010586652309724352,0.601063829787234,0.02997559223092549,-0.01862601717155202,0.00576634139939402,0.015406963220054685,0.010086652309724352,188,0.02338471855190532,0.6648936170212766,0.04670510850175799,-0.022885896427961096,0.016022892697429503,0.030746544406381134,0.02288471855190532
GLD,10,CONTINUATION,64,-0.0011353717840040193,0.546875,0.008997137396997973,-0.013841557252542368,-0.0050444881172653,0.002773744549257261,-0.0016353717840040193,64,-0.00387345950446126,0.5625,0.022655346821547843,-0.03798192478075868,-0.013251590577663676,0.005504671568741156,-0.004373459504461261,64,0.006123885407765041,0.546875,0.035666164060285555,-0.030585252714751134,-0.004206124968067859,0.01645389578359794,0.005623885407765041,64,0.008034924698084013,0.578125,0.03957136445517312,-0.03518167793200106,-0.004306485492068123,0.020376334888236147,0.007534924698084013
GLD,11,CHOP_OR_NO_EDGE,126,0.0005367994875476571,0.5158730158730159,0.008932831631513122,-0.008549955343622469,-0.0014725059426934767,0.0025461049177887907,3.67994875476571e-05,126,0.0026306177851778962,0.5793650793650794,0.018907859652608237,-0.019788979503924272,-0.0013970808615587807,0.006658316431914573,0.0021306177851778962,126,0.004789478121944646,0.5793650793650794,0.023687698828713327,-0.021240146625114097,5.943819697297459e-06,0.009573012424191995,0.0042894781219446464,126,0.01051792571482356,0.626984126984127,0.03330089602694237,-0.02777685417150381,0.00429373159489124,0.016742119834755882,0.01001792571482356
IWM,0,FAR_FROM_LEVEL,3135,0.0006674516076348653,0.5384370015948964,0.009946025925202651,-0.010184636848098942,0.00019839539323953422,0.0011365078220301962,0.00016745160763486527,3135,0.0029330729628736785,0.5617224880382775,0.02211382760868018,-0.021745077982658487,0.001915598076922669,0.003950547848824688,0.0024330729628736785,3134,0.005319859148954325,0.5775366943203574,0.03174226276003585,-0.03082468406866366,0.0038725770681441317,0.006767141229764519,0.0048198591489543256,3132,0.009310210377971183,0.6133461047254151,0.044336686098413285,-0.04640529833574663,0.007265898543523129,0.011354522212419237,0.008810210377971183
IWM,1,APPROACHING_SUPPORT,66,0.0017086184994629544,0.5909090909090909,0.014090013128000525,-0.016175618186202428,-0.002831668824937236,0.006248905823863145,0.0012086184994629543,66,0.0022662336183750446,0.5757575757575758,0.037174154018455474,-0.045108801210305534,-0.011232078175228238,0.015764545411978328,0.0017662336183750446,66,0.0029046542500914623,0.6060606060606061,0.04811342030045788,-0.06664729351970301,-0.013982743406015236,0.01979205190619816,0.0024046542500914623,66,0.020421707479291354,0.6515151515151515,0.06177582683332666,-0.056892515660861585,0.001698883089127575,0.03914453186945513,0.019921707479291353
IWM,2,TOUCHING_SUPPORT,61,0.0015977925101841367,0.5737704918032787,0.019748987978725614,-0.022836509082083237,-0.006433486164276324,0.009629071184644598,0.0010977925101841367,61,0.008306046142066438,0.6557377049180327,0.042150259546208754,-0.05615912224677607,-0.007220548042326835,0.02383264032645971,0.007806046142066437,61,0.01029512119775566,0.7213114754098361,0.04392781817883701,-0.07675421216504313,-0.007139104457810585,0.027729346853321905,0.00979512119775566,61,0.027775531212730502,0.639344262295082,0.07592265340270533,-0.05757618539677035,0.0070733287736526596,0.048477733651808345,0.027275531212730502
IWM,3,SUPPORT_RECLAIM,18,-0.02091831038138614,0.3888888888888889,0.012097037886505069,-0.04192807746095328,-0.0391752531986203,-0.00266136756415198,-0.02141831038138614,18,-0.0061578968099779575,0.6111111111111112,0.03018161473321475,-0.06326284352070935,-0.03745773944702651,0.0251419458270706,-0.006657896809977958,18,0.015142983577680723,0.6666666666666666,0.05034939293298243,-0.05526983513292268,-0.015513322371151982,0.04579928952651343,0.014642983577680723,18,0.037729238179665,0.7222222222222222,0.07662120819669752,-0.06338988386461955,0.0021935466900714143,0.0732649296692586,0.037229238179665
IWM,4,SUPPORT_BREAKDOWN,26,0.003172272863776795,0.4230769230769231,0.03524528809452074,-0.020347938305435426,-0.01062700769617285,0.01697155342372644,0.002672272863776795,26,-0.009463085001177117,0.38461538461538464,0.049315209572152005,-0.04619951910950782,-0.034161616845529846,0.015235446843175616,-0.009963085001177117,26,0.005821265847293482,0.5,0.05811933864704888,-0.04647680695246192,-0.02299912350872846,0.03464165520331542,0.005321265847293482,26,0.039121316979514376,0.7307692307692307,0.07469982445213383,-0.057448917589024116,0.007606287607094378,0.07063634635193437,0.038621316979514375
