symbol,horizon,lookback,cost_bps,min_samples,total_return,max_drawdown,sharpe,trade_count,win_rate,avg_win,avg_loss,exposure_time,benchmark_total_return
SPY,5,126,5.0,5,1.2402953263149716,-0.22799372384950034,0.4957010073458251,443,0.5756207674943566,0.015506456396321675,-0.0161906004868249,0.5380131163468546,5.522280067060795
SPY,5,126,5.0,10,0.6085924323225878,-0.21872691006256828,0.327016373103936,416,0.5480769230769231,0.01531531048453738,-0.015547727448284164,0.5052222492105902,5.522280067060795
SPY,5,126,10.0,5,0.9051736520376208,-0.22524753893630678,0.4185686973030821,425,0.5741176470588235,0.015023003343222796,-0.016157453076349512,0.5161525382560117,5.522280067060795
SPY,5,126,10.0,10,0.2586674096417849,-0.2474498957150829,0.1892181290553141,398,0.5477386934673367,0.014680571508476572,-0.016019204449089514,0.48336167111974737,5.522280067060795
SPY,5,252,5.0,5,1.014413842549994,-0.21751631165276253,0.44205459673927916,463,0.6004319654427646,0.013567297677263111,-0.01604688100706514,0.5623026475589021,5.522280067060795
SPY,5,252,5.0,10,0.6006128486786793,-0.29406651910398673,0.32234378779849826,445,0.5685393258426966,0.014278593418550922,-0.015866561879797143,0.5404420694680593,5.522280067060795
SPY,5,252,10.0,5,0.3909529197244934,-0.22084287581033235,0.24148735172286967,447,0.5794183445190156,0.013423412574816407,-0.01622096318244652,0.542871022589264,5.522280067060795
SPY,5,252,10.0,10,0.34129062436851343,-0.3116685910940703,0.22640559375232658,426,0.5563380281690141,0.01414479699101096,-0.015717811977289383,0.5173670148166141,5.522280067060795
SPY,10,126,5.0,5,1.4266146702825035,-0.29152738423746727,0.5250143492176821,268,0.6194029850746269,0.019995403467256485,-0.022736855520263523,0.6509594364828759,5.522280067060795
SPY,10,126,5.0,10,1.2104613349348972,-0.25165660356208297,0.501674583649916,260,0.6115384615384616,0.019171433691928804,-0.021354902013881596,0.6315278115132378,5.522280067060795
SPY,10,126,10.0,5,0.7151281282862167,-0.2814735379436275,0.3385684508493612,263,0.6121673003802282,0.01931469099204513,-0.024019745971640347,0.6388146708768521,5.522280067060795
SPY,10,126,10.0,10,0.6978217199841785,-0.2614587237738649,0.3459690133669386,256,0.609375,0.01868669831208932,-0.02279462213062198,0.6218119990284188,5.522280067060795
SPY,10,252,5.0,5,1.1552968525756717,-0.2710699587054076,0.4326227124254101,284,0.6408450704225352,0.019595162625876215,-0.026082685539047513,0.689822686422152,5.522280067060795
SPY,10,252,5.0,10,1.6819616080040354,-0.20913810743162653,0.601292184771468,277,0.631768953068592,0.019243913711622318,-0.022353407423278467,0.6728200145737188,5.522280067060795
SPY,10,252,10.0,5,1.021979776725947,-0.2719245308466752,0.404501548104566,276,0.6231884057971014,0.01999969505658603,-0.025002148866442173,0.6703910614525139,5.522280067060795
SPY,10,252,10.0,10,0.8921278987520096,-0.298043655335653,0.39009516170382763,267,0.5917602996254682,0.020694954195422288,-0.023083695339061717,0.6485304833616711,5.522280067060795
QQQ,5,126,5.0,5,2.1299054120024077,-0.26064212793115504,0.5798521262271027,456,0.5942982456140351,0.018837751246472283,-0.02059373630644886,0.5538013116346855,14.27208099956915
QQQ,5,126,5.0,10,1.8056783244601222,-0.22944666199406227,0.5455697577951514,436,0.5894495412844036,0.018964598422723716,-0.020666248082226016,0.5295117804226378,14.27208099956915
QQQ,5,126,10.0,5,1.042244720333433,-0.2886542664450419,0.38698517642319274,442,0.5769230769230769,0.018714210548140403,-0.020857975208178194,0.5367986397862521,14.27208099956915
QQQ,5,126,10.0,10,1.367896020038418,-0.23317096603921927,0.473200262536559,423,0.5862884160756501,0.018485345042604608,-0.020481092721618698,0.5137235851348069,14.27208099956915
QQQ,5,252,5.0,5,2.8314068688616176,-0.35599988903065305,0.6394648492632512,497,0.5995975855130785,0.018936688440151738,-0.020740135088974463,0.603594850619383,14.27208099956915
QQQ,5,252,5.0,10,3.203324455648789,-0.2266660016803539,0.6989415478338938,484,0.609504132231405,0.018766410672956035,-0.020848556416342753,0.5878066553315521,14.27208099956915
QQQ,5,252,10.0,5,1.776399535664047,-0.320698176001074,0.5093744202771232,474,0.5843881856540084,0.019020691374246484,-0.02071099424140181,0.5756618897255283,14.27208099956915
QQQ,5,252,10.0,10,1.9491337358431675,-0.23714077816111678,0.5504421670083851,459,0.5882352941176471,0.01897737835299253,-0.02056850133320006,0.5574447413164926,14.27208099956915
QQQ,10,126,5.0,5,4.02906790588553,-0.21029077399642848,0.785551271912515,281,0.6405693950177936,0.025618902924632633,-0.028109686844548197,0.6825358270585378,14.27208099956915
QQQ,10,126,5.0,10,5.344878450227819,-0.21029077399642848,0.9054637512731668,272,0.6397058823529411,0.026447011518032217,-0.026575568386246383,0.6606752489676949,14.27208099956915
QQQ,10,126,10.0,5,3.3858285991558468,-0.21414928103482234,0.7323706175963935,277,0.6245487364620939,0.025855004882889013,-0.027321886154086303,0.6728200145737188,14.27208099956915
QQQ,10,126,10.0,10,4.320256305220222,-0.21354073767982962,0.837347853917171,267,0.6254681647940075,0.026473668568224026,-0.0260492077452837,0.6485304833616711,14.27208099956915
QQQ,10,252,5.0,5,6.1765186892111785,-0.31415597368540493,0.7927086160203112,308,0.6428571428571429,0.02879093687270332,-0.03168649390258646,0.7481175613310663,14.27208099956915
QQQ,10,252,5.0,10,6.462130038055049,-0.3141559736854048,0.8231897756962101,302,0.6423841059602649,0.028760368357494848,-0.030905490373766158,0.7335438426038378,14.27208099956915
QQQ,10,252,10.0,5,5.216073747204978,-0.31498525657997156,0.7423541490944062,306,0.6470588235294118,0.02827555622771607,-0.03266520571628339,0.7432596550886568,14.27208099956915
QQQ,10,252,10.0,10,5.231243502726589,-0.31498525657997145,0.7603925172773295,300,0.6466666666666666,0.028032059000847733,-0.03187849857019661,0.7286859363614282,14.27208099956915
IWM,5,126,5.0,5,2.348661090324158,-0.22373425667589175,0.626308956681845,403,0.5880893300248139,0.019770291025020866,-0.02008955391119948,0.4894340539227593,3.3388558924663965
IWM,5,126,5.0,10,2.084454540094282,-0.2879404327866629,0.57253989869778,387,0.5917312661498708,0.020076133528079528,-0.02098710970201678,0.4700024289531212,3.3388558924663965
IWM,5,126,10.0,5,1.27079398113599,-0.20381991266186894,0.4567683132852412,387,0.5555555555555556,0.020088774723216598,-0.019569145372337726,0.4700024289531212,3.3388558924663965
IWM,5,126,10.0,10,0.8684865228847918,-0.29550909820343796,0.3560936722214459,370,0.5486486486486486,0.02043332598325643,-0.02022675563231729,0.44935632742288073,3.3388558924663965
IWM,5,252,5.0,5,0.8408991488955302,-0.29453483524281354,0.3364451282612072,425,0.5670588235294117,0.019873124250862587,-0.02183425233714757,0.5161525382560117,3.3388558924663965
IWM,5,252,5.0,10,0.8113281887343546,-0.3730998892068137,0.3279456955091714,412,0.5533980582524272,0.020550343674895697,-0.021327952283183762,0.5003643429681807,3.3388558924663965
IWM,5,252,10.0,5,1.0432159067170281,-0.25188016791316803,0.3980330220665901,403,0.5483870967741935,0.019994624174306037,-0.019572193668829042,0.4894340539227593,3.3388558924663965
IWM,5,252,10.0,10,0.8768016390875117,-0.3999089268280597,0.355718805105764,389,0.5398457583547558,0.020418765938549306,-0.01960675405231809,0.47243138207432595,3.3388558924663965
IWM,10,126,5.0,5,0.3816420315882516,-0.5426104608333705,0.20884276807765462,246,0.5365853658536586,0.030655016404554536,-0.030494396597057147,0.5975224678163712,3.3388558924663965
IWM,10,126,5.0,10,0.5063712419454793,-0.4513774680365824,0.24331501556066298,239,0.5481171548117155,0.029250509649602713,-0.02974303183351271,0.5805197959679378,3.3388558924663965
IWM,10,126,10.0,5,0.7127958174800662,-0.29914704541644277,0.3071557473164733,237,0.5358649789029536,0.029618267578451776,-0.027883125528916575,0.5756618897255283,3.3388558924663965
IWM,10,126,10.0,10,0.9509441430023677,-0.2492171413525277,0.37299465937037296,229,0.5502183406113537,0.028863031557181822,-0.027404980583344486,0.5562302647558902,3.3388558924663965
IWM,10,252,5.0,5,0.7981784776314946,-0.38613998886545575,0.3200442663591772,257,0.556420233463035,0.028343408391568087,-0.028892075702933652,0.6242409521496235,3.3388558924663965
IWM,10,252,5.0,10,0.7113949085165174,-0.3590617836904384,0.29596046020979705,249,0.5542168674698795,0.02952115228021666,-0.030244377472593086,0.6048093271799855,3.3388558924663965
IWM,10,252,10.0,5,0.5791405650599815,-0.3674776704599235,0.2704769563278737,252,0.5436507936507936,0.027656427613808283,-0.027579469961586188,0.6120961865435998,3.3388558924663965
IWM,10,252,10.0,10,0.3869735336920763,-0.36953405803523043,0.21127791781681776,244,0.5368852459016393,0.029050076390029083,-0.029277549887257066,0.5926645615739616,3.3388558924663965
XLK,5,126,5.0,5,2.1260284087994195,-0.2358430622312283,0.5904348406678774,440,0.5863636363636363,0.018578947234749232,-0.019270691553674293,0.5343696866650474,14.142611683848795
XLK,5,126,5.0,10,1.558811995331768,-0.1990064355692137,0.5095686964723345,430,0.5813953488372093,0.0182773871486499,-0.019398599018508683,0.5222249210590235,14.142611683848795
XLK,5,126,10.0,5,1.6024765279768332,-0.21479590952839778,0.5115813218223667,428,0.5584112149532711,0.01929778243279024,-0.018592499722395725,0.5197959679378188,14.142611683848795
XLK,5,126,10.0,10,0.8899636810374065,-0.22448971960992603,0.37063441936146585,418,0.5502392344497608,0.018620511274105085,-0.018689090850747044,0.507651202331795,14.142611683848795
XLK,5,252,5.0,5,2.155798245416809,-0.3243393677510549,0.541380255778535,480,0.59375,0.019516234369042408,-0.021662107849949062,0.5829487490891426,14.142611683848795
XLK,5,252,5.0,10,3.1630545710076365,-0.22274735952442115,0.6820141742749166,470,0.5893617021276596,0.019835848302071673,-0.0202108864695319,0.5708039834831188,14.142611683848795
XLK,5,252,10.0,5,1.4845208509758683,-0.2402058956935723,0.4648125685067684,458,0.5676855895196506,0.019763411121497515,-0.02053274386977585,0.5562302647558902,14.142611683848795
XLK,5,252,10.0,10,2.027189082588152,-0.24124179755005648,0.5593699505437107,449,0.579064587973274,0.01965657357033796,-0.020354630852116844,0.5452999757104688,14.142611683848795
XLK,10,126,5.0,5,3.711724299898494,-0.2614924185108607,0.7542696767572373,276,0.6231884057971014,0.026266144016361317,-0.0270153005404366,0.6703910614525139,14.142611683848795
XLK,10,126,5.0,10,3.9786225585520993,-0.24113122036260337,0.7573249954840909,267,0.6479400749063671,0.0267631965996646,-0.030376764667817375,0.6485304833616711,14.142611683848795
XLK,10,126,10.0,5,3.0788742150541655,-0.2667626983424116,0.689574859171607,269,0.6096654275092936,0.0268423751806093,-0.02702664786974104,0.6533883896040806,14.142611683848795
XLK,10,126,10.0,10,2.9842448505756347,-0.2465358219999969,0.6681677387447613,262,0.6335877862595419,0.026753633988314866,-0.03013824255096878,0.6363857177556473,14.142611683848795
XLK,10,252,5.0,5,4.893237036196951,-0.26798222101841207,0.7682536655622851,303,0.5808580858085809,0.02964555571839281,-0.02550981238763161,0.7359727957250425,14.142611683848795
XLK,10,252,5.0,10,5.002525272378029,-0.26798222101841207,0.7617931835314089,297,0.6127946127946128,0.029196084946860937,-0.028762307240939932,0.7213990769978139,14.142611683848795
XLK,10,252,10.0,5,3.4370247245849788,-0.2688392936404166,0.6676915533441026,298,0.5637583892617449,0.02919112608543978,-0.024751246154221744,0.7238280301190188,14.142611683848795
XLK,10,252,10.0,10,3.578256414717756,-0.28767542477378893,0.6645952051246037,294,0.5952380952380952,0.028912225480505337,-0.02797572790467416,0.7141122176341996,14.142611683848795
SMH,5,126,5.0,5,5.132623683069847,-0.3327495575334727,0.6932492828746925,435,0.5816091954022988,0.027389220502922085,-0.026568210704176188,0.5282973038620354,38.15130190007037
SMH,5,126,5.0,10,5.92742816683882,-0.3327495575334729,0.727521363779226,418,0.5933014354066986,0.02803576798624319,-0.027817718030172182,0.507651202331795,38.15130190007037
SMH,5,126,10.0,5,3.2180017328238053,-0.37542042943117915,0.5795963631777235,424,0.5778301886792453,0.026612491037669477,-0.026890714268633896,0.5149380616954092,38.15130190007037
SMH,5,126,10.0,10,3.6377558917306763,-0.37542042943117915,0.6076899338009253,406,0.5862068965517241,0.02725503257051927,-0.02784802420686725,0.49307748360456644,38.15130190007037
SMH,5,252,5.0,5,4.847316185612031,-0.35431240443702006,0.6813552561668885,444,0.5698198198198198,0.027135389876648958,-0.025260916355121732,0.5392275929074569,38.15130190007037
SMH,5,252,5.0,10,4.604962544295517,-0.3016045041164961,0.6625727650498646,434,0.5599078341013825,0.028269679054307106,-0.025475655536546443,0.5270828273014331,38.15130190007037
SMH,5,252,10.0,5,3.422000788388507,-0.37393003586135276,0.5964040541989197,428,0.572429906542056,0.026515506201896615,-0.025932051160463016,0.5197959679378188,38.15130190007037
SMH,5,252,10.0,10,3.476185246253059,-0.3379938875658588,0.5973169455542654,418,0.5645933014354066,0.02759531622614162,-0.026072366907799453,0.507651202331795,38.15130190007037
