date,symbol,current_state,markov_weighted_ev,coverage,weighted_samples
2010-01-26,SPY,11,-0.009041620146519665,0.9999948260279441,9.99994826027944
2010-01-27,SPY,11,-0.012808176350693706,0.9999953434233948,10.999948777657343
2010-01-28,SPY,11,-0.01475318993106199,0.9999957667472353,11.999949200966824
2010-01-29,SPY,11,-0.015812285928709664,0.9999961195173019,12.999949553724925
2010-02-01,SPY,11,-0.01590891839301622,0.9999964180151922,13.99994985221269
2010-02-02,SPY,11,-0.015312864060744604,0.9999966738706301,14.999950108059451
2010-02-03,SPY,11,-0.01377527289170105,0.9999968956120866,15.999950329793386
2010-02-04,SPY,11,-0.012994376916227502,0.9999970896359199,16.99995052381064
2010-02-05,SPY,11,-0.013390170526611355,0.9999972608334654,17.999950695002376
2010-02-08,SPY,11,-0.013069512667935487,0.9999974130090973,18.999950847172848
2010-02-09,SPY,11,-0.01389436354499724,0.9999975491662701,19.9999509833254
2010-02-10,SPY,11,-0.014619791039949466,0.9999976717077488,20.999951105862724
2010-02-11,SPY,11,-0.015145074210513261,0.9999977825786293,21.999951216729844
2010-02-12,SPY,11,-0.013818009091184217,0.9999978833703543,22.99995131751815
2010-02-16,SPY,11,-0.012723998120133442,0.9999979753975945,23.99995140954227
2010-02-17,SPY,11,-0.01078070259991831,0.9999980597559089,24.999951493897722
2010-02-18,SPY,11,-0.009294796867826317,0.9999981373655672,25.99995157150475
2010-02-19,SPY,11,-0.007619244748734269,0.9999982090052597,26.999951643142012
2010-02-22,SPY,11,-0.006370814499052306,0.9999982753383149,27.999951709472818
2010-02-23,SPY,11,-0.005172574858415287,0.9999983369333004,28.999951771065714
2010-02-24,SPY,11,-0.00499556027951758,0.999998394280361,29.99995182841083
2010-02-25,SPY,11,-0.004686707067954612,0.9999984478042884,30.99995188193294
2010-02-26,SPY,11,-0.004623494970904834,0.999998497875063,31.999951932002016
2010-03-01,SPY,11,-0.004607603160376687,0.9999985448164175,32.99995197894178
2010-03-02,SPY,11,-0.004293641443740322,0.9999985889128444,33.99995202303671
2010-03-03,SPY,11,-0.003563399362347649,0.9999986304153664,34.99995206453782
2010-03-04,SPY,11,-0.0031073335997644875,0.999998669546318,35.99995210366745
2010-03-05,SPY,11,-0.002555766687823925,0.9999987065033299,36.99995214062321
2010-03-08,SPY,11,-0.0016675669955299843,0.9999987414626674,37.99995217558136
2010-03-09,SPY,11,-0.0010922226237985904,0.9999987745820413,38.99995220869961
2010-03-10,SPY,11,-0.0005738526156059963,0.9999988060029872,39.999952240119484
