symbol,provider,n_trades,sharpe_point,sharpe_ci_low,sharpe_ci_high,confidence,block_size,resamples
SPY,default,445,0.43867545132755287,-0.2557029887991483,1.1429977060707437,0.95,5,2000
QQQ,default,484,0.9172840557692402,0.28830033458458787,1.5444134471800672,0.95,5,2000
IWM,default,412,0.46388793665425604,-0.24826964091068704,1.189070733552842,0.95,5,2000
XLK,default,470,0.908168422188122,0.2774214685143957,1.501215059989126,0.95,5,2000
SMH,default,434,0.9182771272799772,0.23933025340421174,1.581701403104165,0.95,5,2000
XLE,default,312,-0.0711633172038443,-0.8048033877295934,0.7011191057298404,0.95,5,2000
XLF,default,409,0.8324404588632581,0.1490562021863495,1.5246516454795689,0.95,5,2000
GLD,default,326,0.815152827037605,-0.05316664953674266,1.655274767099858,0.95,5,2000
TLT,default,249,0.06699115806080425,-0.7625927025727272,0.8419371943089614,0.95,5,2000
