symbol,fmp_rows,yfinance_rows,overlap_rows,fmp_only_rows,yfinance_only_rows,close_mismatch_rows,max_abs_close_diff,mean_abs_close_diff,volume_mismatch_rows,max_abs_volume_diff,mean_abs_volume_diff
GLD,4117,4117,4117,0,0,6,0.2900006103515693,0.00014204635564244925,3896,2352028.0,60473.90502793296
IWM,4117,4117,4117,0,0,4,0.1700027465820284,0.0001293389739852965,2463,20741941.0,20009.954335681323
QQQ,4117,4117,4117,0,0,3,0.199999542236327,7.770463277340941e-05,2030,2630119.0,15953.66771921302
SMH,4117,4117,4117,0,0,1,0.025000305175780113,0.0020380532999236117,2008,3617890.0,3316.3456400291475
SPY,4117,4117,4117,0,0,0,2.929687502728484e-05,6.600380632675267e-06,88,7863106.0,1939.8188000971581
TLT,4117,4117,4117,0,0,5,0.09000305175780454,4.849278002964652e-05,2403,2219340.0,5562.230993441826
XLE,4117,4117,4117,0,0,1,0.030001525878908808,0.0024584926746986564,2420,17392208.0,16191.263784308963
XLF,4117,4117,4117,0,0,761,0.025945892333984588,0.003880820182853673,2969,110013186.0,59330.83045907214
XLK,4117,4117,4117,0,0,3,0.07000000000000028,0.002437952925111929,2229,11701110.0,7207.526839931989
